speaker, data, score
CPI. MR. PARRY,19940517,0
MR. LAWARE,19940517,-0.5
MR. BOEHNE,19940517,0.5
MR. HOENIG,19940517,0
MR. KEEHN,19940517,0.5
MS. MINEHAN,19940517,-0.5
MR. MCTEER,19940517,0.5
MR. STERN,19940517,0.5
MR. MELZER,19940517,0.5
GOVERNOR KELLEY,19940517,0.5
MS. PHILLIPS,19940517,0.5
MR. KELLEY,19940517,0
MR. BERNARD,19940517,0.5
CHAIRMAN GREENSPAN,19940706,0
MR. BLINDER,19940706,-0.5
VICE CHAIRMAN MCDONOUGH,19940706,0.5
MR. KELLEY,19940706,0.5
MR. FISHER,19940706,0
MR. BOEHNE,19940706,0.5
MR. TRUMAN,19940706,0
MR. LINDSEY,19940706,0.5
MR. LAWARE,19940706,-0.5
MR. BROADDUS,19940706,0.5
MR. JORDAN,19940706,0.5
MR. MELZER,19940706,0.5
MR. KOHN,19940706,0
MS. LOVETT,19940706,0
SPEAKER(?),19940706,0
MS. MINEHAN,19940706,-0.5
SEVERAL,19940706,0
MR. PRELL,19940706,0.5
MS. PHILLIPS,19940706,0.5
MR. PARRY,19940706,0.5
GDP. MR. PARRY,19940706,0
GDP? MR. PRELL,19940706,0
MR. HOENIG,19940706,0.5
MR. KEEHN,19940706,0.5
MR. FORRESTAL,19940706,0.5
MR. MCTEER,19940706,-0.5
MR. STERN,19940706,0.5
MR. BERNARD,19940706,0
CHAIRMAN GREENSPAN,19940816,0.5
MS. YELLEN,19940816,0.5
MS. MINEHAN,19940816,0.5
VICE CHAIRMAN MCDONOUGH,19940816,-0.5
MR. KELLEY,19940816,0.5
MR. FISHER,19940816,0
MR. BLINDER,19940816,-0.5
MS. LOVETT,19940816,0
SPEAKER(?),19940816,0
MR. PRELL,19940816,0
MR. PARRY,19940816,0.5
MR. LAWARE,19940816,0.5
MR. STERN,19940816,0.5
MR. KOHN,19940816,0
MR. JORDAN,19940816,-0.5
MR. BROADDUS,19940816,0.5
MR. FORRESTAL,19940816,0.5
MR. HOENIG,19940816,0.5
MR. BOEHNE,19940816,-0.5
MR. MELZER,19940816,0.5
MR. MCTEER,19940816,0
MS. PHILLIPS,19940816,0.5
MR. LINDSEY,19940816,0.5
NIPA. MR. LINDSEY,19940816,0
MR. CONRAD,19940816,-0.5
MR. BERNARD,19940816,0
CHAIRMAN GREENSPAN,19940927,0.5
SPEAKER(?),19940927,0
VICE CHAIRMAN MCDONOUGH,19940927,0.5
MR. FISHER,19940927,0
MR. BLINDER,19940927,0.5
MR. BROADDUS,19940927,0.5
MR. FORRESTAL,19940927,-0.5
MR. PARRY,19940927,0.5
MR. TRUMAN,19940927,0
MR. MELZER,19940927,0.5
MS. LOVETT,19940927,0
MR. MCTEER,19940927,0
MR. JORDAN,19940927,-0.5
MR. KOHN,19940927,0
MR. PRELL,19940927,0.5
MS. MINEHAN,19940927,0.5
MR. BOEHNE,19940927,0.5
MR. LINDSEY,19940927,-0.5
MR. HOENIG,19940927,0.5
MR. MOSKOW,19940927,0.5
MR. STERN,19940927,0.5
MR. KELLEY,19940927,0.5
MR. LAWARE,19940927,0.5
MS. YELLEN,19940927,-0.5
MS. PHILLIPS,19940927,0.5
D. CHAIRMAN GREENSPAN,19940927,0
MR. BERNARD,19940927,0
MR. COYNE,19940927,0
CHAIRMAN GREENSPAN,19941115,0.5
MR. LINDSEY,19941115,0.5
MS. MINEHAN,19941115,0.5
SPEAKER(?),19941115,0
MR. FISHER,19941115,0
MR. BROADDUS,19941115,0.5
MR. JORDAN,19941115,-0.5
MS. LOVETT,19941115,0
MR. KOHN,19941115,0.5
VICE CHAIRMAN MCDONOUGH,19941115,0.5
MR. PRELL,19941115,0
MR. BOEHNE,19941115,0.5
MR. PARRY,19941115,0.5
MR. BLINDER,19941115,-0.5
MR. STERN,19941115,0.5
MR. FORRESTAL,19941115,0.5
MR. MCTEER,19941115,0.5
MR. HOENIG,19941115,0.5
MR. MELZER,19941115,0.5
MR. MOSKOW,19941115,0.5
MR. LAWARE,19941115,0.5
MR. KELLEY,19941115,0.5
MS. PHILLIPS,19941115,0.5
MS. YELLEN,19941115,0.5
) CHAIRMAN GREENSPAN,19941115,0.5
SEVERAL MEMBERS,19941115,0
MR. BERNARD,19941115,0
CHAIRMAN GREENSPAN. MR. TRUMAN,19941115,0
MR. TRUMAN,19941115,0
MR. MINEHAN,19941115,0
MR. BOEHNE(?),19941115,0
CHAIRMAN GREENSPAN,19941220,0.5
VICE CHAIRMAN MCDONOUGH,19941220,0.5
MR. JORDAN,19941220,-0.5
FOMC. CHAIRMAN GREENSPAN,19941220,0
SPEAKER(?),19941220,0
MR. FISHER,19941220,0
MS. LOVETT,19941220,0
MS. PHILLIPS,19941220,0.5
MR. TRUMAN,19941220,0
MR. PRELL,19941220,0.5
MR. PARRY,19941220,0.5
MR. BLINDER,19941220,-0.5
MR. MCTEER,19941220,0.5
MS. MINEHAN,19941220,0.5
MR. HOENIG,19941220,0.5
MR. MOSKOW,19941220,0.5
MR. FORRESTAL,19941220,-0.5
MR. BROADDUS,19941220,0.5
MR. STERN,19941220,0.5
MR. MELZER,19941220,0.5
MR. LANG,19941220,-0.5
MR. LINDSEY,19941220,0
MR. KELLEY,19941220,0.5
MR. LAWARE,19941220,0.5
MS. YELLEN,19941220,-0.5
NAIRU. CHAIRMAN GREENSPAN,19941220,0
MR. BERNARD,19941220,0
MR. KOHN,19941220,0
CHAIRMAN GREENSPAN,19950201,0
MR. BLINDER,19950201,0
MR. LINDSEY,19950201,-0.5
MS. MINEHAN,19950201,-0.5
SEVERAL,19950201,0
MR. KELLEY,19950201,0.5
MR. BERNARD,19950201,0
SPEAKER(?),19950201,0
VICE CHAIRMAN MCDONOUGH,19950201,0.5
MR. PARRY,19950201,0.5
MR. BROADDUS,19950201,0.5
MR. MELZER,19950201,0.5
MR. KOHN,19950201,0
MR. HOENIG,19950201,0.5
CHAIRMAN.GREENSPAN,19950201,0
MR. BOEHNE,19950201,0.5
MR. JORDAN,19950201,0.5
MS. PHILLIPS,19950201,0.5
MR. MOSKOW,19950201,0.5
MR. FORRESTAL,19950201,0.5
MR. MATTINGLY,19950201,0
MR. LAWARE,19950201,0.5
MR. WINN,19950201,0
MR. MCTEER,19950201,-0.5
FOMC. MS. MINEHAN,19950201,0
MR. COYNE,19950201,0
MS. YELLEN,19950201,-0.5
GOVERNOR YELLEN,19950201,-0.5
PRESIDENT MINEHAN,19950201,-0.5
PRESIDENT MELZER,19950201,0.5
MR.BOEHNE,19950201,-0.5
MR. STERN,19950201,-0.5
MR. TRUMAN,19950201,0
ESF. CHAIRMAN GREENSPAN,19950201,0
ESF? MR. TRUMAN,19950201,0
ESF. MR. HOENIG,19950201,0
MR. FISHER,19950201,0
Y. MR. LINDSEY,19950201,0
MS. MINEHAN AND OTHERS,19950201,0
MR. PRELL,19950201,0
MR. HOOPER,19950201,0
NAIRU? MR. PRELL,19950201,0
MR. STOCKTON,19950201,0
MR. LINDSEY. MR. TRUMAN,19950201,0
ESF. MR. LAWARE,19950201,0
IMF? MR. TRUMAN,19950201,0
MR. TRUMAN. MS. MINEHAN,19950201,0
CHAIRMAN GREENSPAN. MR. TRUMAN,19950201,0
VICE CHAIRMAN,19950201,0
GOVERNOR LAWARE,19950201,0
CHAIRMAN GREENSPAN,19950328,0.5
VICE CHAIRMAN MCDONOUGH,19950328,0.5
MS. MINEHAN,19950328,0.5
MR. KELLEY,19950328,-0.5
MR. MOSKOW,19950328,0.5
SEVERAL,19950328,0
MR. HOENIG,19950328,0.5
SPEAKER(?),19950328,0
MR. KOHN,19950328,0
MR. JORDAN,19950328,-0.5
MR. PRELL,19950328,0
I. MR. KOHN,19950328,0
II. MR. KOHN,19950328,0
MR. LINDSEY,19950328,-0.5
MR. TRUMAN,19950328,0
MR. BROADDUS,19950328,0.5
MR. FISHER,19950328,0
MR. PARRY,19950328,0.5
MR. BLINDER,19950328,-0.5
MINEHAN,19950328,0
MR. MCTEER,19950328,-0.5
MR. BOEHNE,19950328,0
MR. FORRESTAL,19950328,0
MR. STERN,19950328,0.5
MR. MELZER,19950328,0.5
MS. PHILLIPS,19950328,0.5
MS. YELLEN,19950328,0
MR. BERNARD,19950328,0
CHAIRMAN GREENSPAN,19950523,0
MS. MINEHAN,19950523,0.5
MR. FISHER,19950523,0
MS. PHILLIPS,19950523,0
MR. KOHN,19950523,0
MR. FORRESTAL,19950523,0
MR. BLINDER,19950523,-0.5
MR. KELLEY,19950523,0
MR. MCTEER,19950523,-0.5
VICE CHAIRMAN MCDONOUGH,19950523,-0.5
SPEAKER(?),19950523,0
MR. PRELL,19950523,0
MR. MOSKOW,19950523,-0.5
MR. PARRY,19950523,-0.5
MR. TRUMAN,19950523,0
MR. JORDAN,19950523,-0.5
MR. STOCKTON,19950523,0
MR. BROADDUS,19950523,-0.5
MR. BOEHNE,19950523,-0.5
MR. HOENIG,19950523,0.5
MR. STERN,19950523,-0.5
MR. MELZER,19950523,0.5
MR. LINDSEY,19950523,-0.5
MS. YELLEN,19950523,0
COFFEE BREAK MR. KOHN,19950523,0
MR. BERNARD,19950523,0
MR. BERNARD,19950706,0
CHAIRMAN GREENSPAN,19950706,0
MR. BLINDER,19950706,-0.5
SEVERAL,19950706,0
MR. FISHER,19950706,0
MR. LINDSEY,19950706,-0.5
MR. JORDAN,19950706,-0.5
MR. TRUMAN,19950706,0
MR. KOHN,19950706,0
MS. MINEHAN,19950706,-0.5
VICE CHAIRMAN MCDONOUGH,19950706,-0.5
MR. MELZER,19950706,0.5
SPEAKER(?),19950706,0
MR. MCDONOUGH,19950706,0
MR. MOSKOW,19950706,-0.5
MR. PRELL,19950706,0
MR. SIMPSON,19950706,0
MR. SLIFMAN,19950706,0
MS. JOHNSON,19950706,-0.5
MR. BROADDUS,19950706,-0.5
MR. PARRY,19950706,-0.5
MR. BOEHNE,19950706,-0.5
MR. FORRESTAL,19950706,-0.5
MR. HOENIG,19950706,0.5
MR. MCTEER,19950706,-0.5
MR. STERN,19950706,-0.5
MR. KELLEY,19950706,-0.5
MS. PHILLIPS,19950706,-0.5
MS. YELLEN,19950706,-0.5
MR. MOSCOW,19950706,-0.5
CHAIMAN GREENSPAN,19950706,0
B? MR. KOHN,19950706,0
C. MS. MINEHAN,19950706,0
MR. COYNE,19950706,0
CHAIRMAN GREENSPAN,19950822,0
MR. BOEHNE,19950822,-0.5
MR. BROADDUS,19950822,-0.5
MS. MINEHAN,19950822,0
MR. LINDSEY,19950822,-0.5
VICE CHAIRMAN MCDONOUGH,19950822,-0.5
MR. FISHER,19950822,0
MR. SIEGMAN,19950822,0
MR. KELLEY,19950822,0
MR. STOCKTON,19950822,0
MR. KOHN,19950822,0
MR. FORRESTAL,19950822,0
MR. PARRY,19950822,-0.5
MR. STERN,19950822,0
MR. SLIFMAN,19950822,0
MR. BLINDER,19950822,-0.5
MR. MOSKOW,19950822,0
MR. HOENIG,19950822,0
MR. MCTEER,19950822,-0.5
MR. MELZER,19950822,0.5
MR. JORDAN,19950822,0
MS. PHILLIPS,19950822,0
MS. YELLEN,19950822,-0.5
MR. BERNARD,19950822,0
SPEAKER(?),19950822,0
I. CHAIRMAN GREENSPAN,19950822,0
CHAIRMAN GREENSPAN,19950926,0
MS. MINEHAN,19950926,-0.5
SPEAKER(?),19950926,0
MR. FISHER,19950926,0
MR. LINDSEY,19950926,-0.5
MR. TRUMAN,19950926,0
MS. PHILLIPS,19950926,-0.5
MR. KOHN,19950926,0
MR. JORDAN,19950926,0
MR. PRELL,19950926,0
MR. PARRY,19950926,0.5
MR. STOCKTON,19950926,0
MR. STERN,19950926,0
VICE CHAIRMAN MCDONOUGH,19950926,-0.5
MR. BLINDER,19950926,-0.5
MS. YELLEN,19950926,-0.5
MR. MOSKOW,19950926,0
MR. BROADDUS,19950926,0.5
MR. FORRESTAL,19950926,-0.5
MR. BOEHNE,19950926,-0.5
MR. HOENIG,19950926,0
MR. MCTEER,19950926,-0.5
MR. MELZER,19950926,0.5
MR. KELLEY,19950926,0
MR. BERNARD,19950926,0
MR. WINN,19950926,0
CHAIRMAN GREENSPAN,19951115,0
MS. MINEHAN,19951115,-0.5
MR. KELLEY,19951115,0
MR. FISHER,19951115,0
MR. KOHN,19951115,0
SPEAKER(?),19951115,0
SEVERAL,19951115,0
MR. LINDSEY,19951115,-0.5
MR. TRUMAN,19951115,0
MR. JORDAN,19951115,-0.5
VICE CHAIRMAN MCDONOUGH,19951115,-0.5
MR. BLINDER,19951115,-0.5
MS. KRIEGER,19951115,0
MR. HOENIG,19951115,0
MR. MELZER,19951115,0.5
MR. BROADDUS,19951115,0.5
MR. PRELL,19951115,0
MR. PARRY,19951115,0.5
MR. STOCKTON,19951115,0
MR. FORRESTAL,19951115,-0.5
MR. BOEHNE,19951115,-0.5
MR. MOSKOW,19951115,-0.5
MR. STERN,19951115,0
MR. MCTEER,19951115,0
MS. PHILLIPS,19951115,0
MS. YELLEN,19951115,-0.5
MR. BERNARD,19951115,0
CHAIRMAN GREENSPAN,19951219,-0.5
MR. GUYNN,19951219,0
VICE CHAIRMAN MCDONOUGH,19951219,-0.5
SPEAKER(?),19951219,1
SEVERAL,19951219,0
MR. FISHER,19951219,0
MR. LINDSEY,19951219,-0.5
MR. TRUMAN,19951219,0
MS. MINEHAN,19951219,-0.5
MR. MELZER,19951219,0.5
MR. BROADDUS,19951219,0.5
MR. KOHN,19951219,0
MR. BLINDER,19951219,-0.5
MR. KELLEY,19951219,0
MR. PRELL,19951219,0
MR. MOSKOW,19951219,-0.5
MR. STOCKTON,19951219,0
PRESIDENT BOEHNE,19951219,-0.5
MR. PARRY,19951219,-0.5
MR. STERN,19951219,-0.5
MR. MCTEER,19951219,-0.5
MR. HOENIG,19951219,0
MS. YELLEN,19951219,-0.5
MS. PHILLIPS,19951219,-0.5
MR. JORDAN,19951219,-0.5
MR. BOEHNE,19951219,-0.5
MR. BERNARD,19951219,0
CHAIRMAN GREENSPAN,19960131,0
MR. KELLEY,19960131,-0.5
MS. PHILLIPS,19960131,-0.5
SEVERAL,19960131,0
MR. MCTEER,19960131,-0.5
SPEAKER(?),19960131,0
MR. BERNARD,19960131,0
MR. FISHER,19960131,0
VICE CHAIRMAN MCDONOUGH,19960131,-0.5
MR. TRUMAN,19960131,0
MR. MELZER,19960131,0.5
MR. KOHN,19960131,0
SPEAKER,19960131,0
MR. PRELL,19960131,0
MR. SLIFMAN,19960131,0
MR. STOCKTON,19960131,0
MR. PARRY,19960131,0.5
MR. BROADDUS,19960131,0.5
MS. MINEHAN,19960131,-0.5
MR. STERN,19960131,-0.5
MR. MOSKOW,19960131,0
MR. JORDAN,19960131,-0.5
MR. LINDSEY,19960131,-0.5
MR. BOEHNE,19960131,-0.5
MR. HOENIG,19960131,0
MR. GUYNN,19960131,-0.5
MS. YELLEN,19960131,-0.5
MR. D. LINDSEY,19960131,0
I. CHAIRMAN GREENSPAN,19960131,0
E. MR. MOSKOW,19960131,0
CHAIRMAN GREENSPAN,19960326,0
SPEAKER(?),19960326,0
MR. FISHER,19960326,0
VICE CHAIRMAN MCDONOUGH,19960326,0
MR. LINDSEY,19960326,0
MR. PRELL,19960326,0
MR. HOENIG,19960326,0
MR. PARRY,19960326,0
MR. JORDAN,19960326,-0.5
MR. STOCKTON,19960326,0
GDP. MR. PRELL,19960326,0
MR. BROADDUS,19960326,0.5
MR. BOEHNE,19960326,0
MR. MCTEER,19960326,-0.5
MS. MINEHAN,19960326,0.5
MR. MOSKOW,19960326,-0.5
MR. GUYNN,19960326,-0.5
MR. STERN,19960326,-0.5
MR. MELZER,19960326,0.5
MR. KELLEY,19960326,0
MS. YELLEN,19960326,0
MS. PHILLIPS,19960326,0
MR. KOHN,19960326,0
MR. BERNARD,19960326,0
CHAIRMAN GREENSPAN,19960521,0
VICE CHAIRMAN MCDONOUGH,19960521,0.5
SPEAKER(?),19960521,0
MR. FISHER,19960521,0
MR. LINDSEY,19960521,0.5
MR. TRUMAN,19960521,0
MR. PRELL,19960521,0
MR. PARRY,19960521,0.5
MR. STOCKTON,19960521,0
LINDSEY,19960521,0
MR. MOSKOW,19960521,0.5
MR. STERN,19960521,0.5
MS. MINEHAN,19960521,0.5
MR. MCTEER,19960521,0
MR. GUYNN,19960521,0
MR. HOENIG,19960521,0.5
MR. BOEHNE,19960521,0.5
MR. BROADDUS,19960521,0.5
MR. MELZER,19960521,0.5
MS. PHILLIPS,19960521,0.5
MR. KELLEY,19960521,0.5
MS. YELLEN,19960521,-0.5
MR. JORDAN,19960521,0.5
MR. KOHN,19960521,0
MR. BERNARD,19960521,0
CHAIRMAN GREENSPAN,19960703,0
SEVERAL,19960703,0
MR. FISHER,19960703,0
MR. LINDSEY,19960703,-0.5
MS. MINEHAN,19960703,0.5
MR. JORDAN,19960703,-0.5
MR. KOHN,19960703,0
VICE CHAIRMAN MCDONOUGH,19960703,0
MS. PHILLIPS,19960703,0.5
MR. KOS,19960703,0
MESSRS,19960703,0
TRUMAN,19960703,0
MR. TRUMAN,19960703,0
MR. PARRY,19960703,0.5
MR. PRELL,19960703,0
MR. STERN,19960703,0.5
MR. STOCKTON,19960703,0
CPI. CHAIRMAN GREENSPAN,19960703,0
MR. HOENIG,19960703,0.5
MR. MEYER,19960703,-0.5
MR. BROADDUS,19960703,0.5
MR. MOSKOW,19960703,0.5
MR. BOEHNE,19960703,-0.5
MR. MCTEER,19960703,0.5
MR. GUYNN,19960703,0
MR. MELZER,19960703,0.5
MR. KELLEY,19960703,-0.5
MS. YELLEN,19960703,-0.5
MS. RIVLIN,19960703,-0.5
MR. BERNARD,19960703,0
SPEAKER(?),19960703,0
MR. D. LINDSEY,19960703,0
SPEAKER (?),19960703,0
COYNE,19960703,0
CHAIRMAN GREENSPAN,19960820,0
VICE CHAIRMAN MCDONOUGH,19960820,0.5
MR. FISHER,19960820,0
MR. KOHN,19960820,0
MR. SIEGMAN,19960820,0
MR. JORDAN,19960820,0.5
MR. LINDSEY,19960820,0
MR. BROADDUS,19960820,0.5
MR. PRELL,19960820,0.5
SPEAKER(?),19960820,0
MS. MINEHAN,19960820,0.5
MR. PARRY,19960820,0.5
MR. MOSKOW,19960820,0.5
MR. STERN,19960820,0.5
MR. HOENIG,19960820,0.5
MR. BOEHNE,19960820,-0.5
MR. GUYNN,19960820,-0.5
MR. MCTEER,19960820,0.5
MR. MELZER,19960820,0.5
MR. KELLEY,19960820,0.5
MR. MEYER,19960820,-0.5
MS. PHILLIPS,19960820,0.5
GOVERNOR YELLEN,19960820,0
MS. RIVLIN,19960820,-0.5
PRESIDENT BOEHNE,19960820,0
PRESIDENT BROADDUS,19960820,0.5
MS. YELLEN,19960820,0.5
MR. BERNARD,19960820,0
CHAIRMAN GREENSPAN,19960924,0.5
MR. PARRY,19960924,0.5
MR. FISHER,19960924,0
MR. LINDSEY,19960924,0.5
MR. TRUMAN,19960924,0
EMU. MR. LINDSEY,19960924,0
VICE CHAIRMAN MCDONOUGH,19960924,0
MS. RIVLIN,19960924,0.5
RIVLIN,19960924,0
MR. PRELL,19960924,0
MR. MCTEER,19960924,0.5
MR. JORDAN,19960924,0
MR. BROADDUS,19960924,0.5
MR. GUYNN,19960924,0.5
MS. MINEHAN,19960924,0.5
MR. KELLEY,19960924,-0.5
MR. MOSKOW,19960924,0.5
MR. HOENIG,19960924,0.5
MR. BOEHNE,19960924,0
MR. MELZER,19960924,0.5
MR. STERN,19960924,0.5
MS. PHILLIPS,19960924,-0.5
MR. MEYER,19960924,0.5
MS. YELLEN,19960924,0.5
MR. KOHN,19960924,0
MR. BERNARD,19960924,0
VICE CHAIRMAN GREENSPAN,19960924,0
SPEAKER(?),19960924,0
SEVERAL,19960924,0
CHAIRMAN GREENSPAN,19961113,0
MR. FISHER,19961113,0
MR. KELLEY,19961113,0
MR. MCTEER,19961113,0
MR. BROADDUS,19961113,0.5
MR. TRUMAN,19961113,0
VICE CHAIRMAN MCDONOUGH,19961113,0
MR. BOEHNE,19961113,0
SEVERAL,19961113,0
MR. PRELL,19961113,0
MR. PARRY,19961113,0.5
MR. STOCKTON,19961113,0
GDP? MR. STOCKTON,19961113,0
MR. MOSKOW,19961113,0.5
MS. MINEHAN,19961113,0.5
MS. PHILLIPS,19961113,-0.5
MR. LINDSEY,19961113,0.5
MR. GUYNN,19961113,0.5
SPEAKER(?),19961113,0
MR. STERN,19961113,0.5
MR. HOENIG,19961113,0.5
MR. MELZER,19961113,0.5
MR. JORDAN,19961113,-0.5
MR. MEYER,19961113,0.5
MS. RIVLIN,19961113,0
MS. YELLEN,19961113,-0.5
MR. D. LINDSEY,19961113,0
MR. BERNARD,19961113,0
CHAIRMAN GREENSPAN,19961217,0.5
MS. RIVLIN,19961217,0
VICE CHAIRMAN MCDONOUGH,19961217,0.5
MR. MOSKOW,19961217,0.5
MR. PRELL,19961217,0
MR. FISHER,19961217,0
MR. BOEHNE,19961217,0
MR. KOHN,19961217,0
MR. MELZER,19961217,0.5
MR. GUYNN,19961217,0
MR. CHAIRMAN,19961217,0
MR. JORDAN,19961217,-0.5
MR. BROADDUS,19961217,0.5
MS. MINEHAN,19961217,-0.5
MR. TRUMAN,19961217,0
MR. PARRY,19961217,0.5
MR. HOENIG,19961217,0
PRESIDENT GUYNN,19961217,-0.5
MR. MCTEER,19961217,0
SPEAKER (?),19961217,0
MR. STERN,19961217,0.5
MR. KELLEY,19961217,0
MS. PHILLIPS,19961217,0.5
MR. MEYER,19961217,0.5
MR. LINDSEY,19961217,-0.5
MS. YELLEN,19961217,0.5
MR. BERNARD,19961217,0
CHAIRMAN GREENSPAN,19970205,0
MS. MINEHAN,19970205,0.5
MS. RIVLIN,19970205,0.5
MR. KELLEY,19970205,0.5
SPEAKER(?),19970205,0
SEVERAL,19970205,0
VICE CHAIRMAN MCDONOUGH,19970205,0.5
MR. BROADDUS,19970205,0.5
MR. BERNARD,19970205,0
MR. FISHER,19970205,0
MR. TRUMAN,19970205,0
MR. KOHN,19970205,0
MR. BOEHNE,19970205,0.5
MR. MELZER,19970205,0.5
MR. COYNE,19970205,0
MR. MOSKOW,19970205,0.5
I. MS. MINEHAN,19970205,-0.5
MR. PRELL,19970205,0
MR. PARRY,19970205,0.5
MS. PHILLIPS,19970205,0.5
MR. STERN,19970205,0.5
MR. STOCKTON,19970205,0
MR. HOENIG,19970205,0.5
MR. JORDAN,19970205,-0.5
MR. GUYNN,19970205,0
MR. MCTEER,19970205,0.5
MR. MEYER,19970205,0.5
NAIRU. CHAIRMAN GREENSPAN,19970205,0
MR. MADIGAN,19970205,0
PCE. CHAIRMAN GREENSPAN,19970205,0
CPI? MR. MELZER,19970205,0
I. CHAIRMAN GREENSPAN,19970205,0
CPI. MR. HOENIG,19970205,0
NAIRU? MR. KOHN,19970205,0
CHAIRMAN GREENSPAN,19970325,0.5
MR. STOCKTON,19970325,0
SPEAKER(?),19970325,0
MR. FISHER,19970325,0
VICE CHAIRMAN MCDONOUGH,19970325,0.5
MR. KELLEY,19970325,0.5
MR. PRELL,19970325,0.5
MR. PARRY,19970325,0.5
MS. MINEHAN,19970325,0.5
MR. MOSKOW,19970325,0.5
MR. BROADDUS,19970325,0.5
MR. JORDAN,19970325,0.5
MR. HOENIG,19970325,0
MR. GUYNN,19970325,0.5
MR. BOEHNE,19970325,0.5
MR. STERN,19970325,0.5
MS. RIVLIN,19970325,0.5
MR. MELZER,19970325,0.5
MR. MCTEER,19970325,0
MR. MEYER,19970325,0.5
MS. PHILLIPS,19970325,0.5
MR. KOHN,19970325,0
MR. BERNARD,19970325,0
CHAIRMAN GREENSPAN,19970520,0
VICE CHAIRMAN MCDONOUGH,19970520,0
MR. FISHER,19970520,0
MS. RIVLIN,19970520,0.5
MR. PRELL,19970520,0
MR. PARRY,19970520,0.5
MR. HOENIG,19970520,-0.5
SPEAKER(?),19970520,0
MR. JORDAN,19970520,0.5
MR. KOHN,19970520,0
GDP. CHAIRMAN GREENSPAN,19970520,0
MR. MCTEER,19970520,-0.5
MS. MINEHAN,19970520,0.5
MR. BROADDUS,19970520,0.5
MR. BOEHNE,19970520,-0.5
MR. GUYNN,19970520,0.5
MR. MOSKOW,19970520,0.5
MR. STERN,19970520,0.5
MR. MELZER,19970520,0.5
MS. PHILLIPS,19970520,0.5
MR. KELLEY,19970520,-0.5
MR. MEYER,19970520,0.5
) CHAIRMAN GREENSPAN,19970520,0.5
MR. BERNARD,19970520,0
CHAIRMAN GREENSPAN,19970702,0
MS. PHILLIPS,19970702,0.5
VICE CHAIRMAN MCDONOUGH,19970702,0
MR. FISHER,19970702,0
MR. BOEHNE,19970702,-0.5
MR. KOHN,19970702,0
MR. BROADDUS,19970702,0.5
MR. MELZER,19970702,0.5
MR. SLIFMAN,19970702,0
MR. PARRY,19970702,0.5
MR. STOCKTON,19970702,0
MR. TRUMAN,19970702,0
BFI. MR. PARRY,19970702,0
BFI? MR. TRUMAN,19970702,0
MS. MINEHAN,19970702,0.5
MR. PRELL,19970702,0
MR. HOENIG,19970702,0.5
MR. MOSKOW,19970702,0.5
MR. GUYNN,19970702,0.5
MR. STERN,19970702,0.5
MR. JORDAN,19970702,0.5
MS. RIVLIN,19970702,-0.5
MR. MCTEER,19970702,0.5
